,title,author,pub_year,avg_rate,num_rate,shelved,series_name,series_num
272,Perdido Street Station,China Miéville,2000,3.97,65496,1267,New Crobuzon,1
273,Blue Mars,Kim Stanley Robinson,1996,3.94,29245,1261,Mars Trilogy,3
274,Robopocalypse,Daniel H. Wilson,2011,3.7,38061,1258,Robopocalypse,1
275,The House of the Scorpion,Nancy Farmer,2002,4.07,88385,1254,Matteo Alacran,1
276,Thunderhead,Neal Shusterman,2018,4.42,128299,1252,Arc of a Scythe,2
277,The Darkest Minds,Alexandra Bracken,2012,4.16,176393,1246,The Darkest Minds,1
278,Flatland: A Romance of Many Dimensions,Edwin A. Abbott,1884,3.81,64419,1245,,
279,The Circle,Dave Eggers,2013,3.44,203592,1238,,
280,Barrayar,Lois McMaster Bujold,1991,4.3,27337,1237,Vorkosigan Saga,7
281,Burning Chrome,William Gibson,1986,4.06,37546,1235,Sprawl,0
282,All the Birds in the Sky,Charlie Jane Anders,2016,3.59,42947,1227,All the Birds in the Sky,1
283,Sundiver,David Brin,1980,3.69,25379,1220,The Uplift Saga,1
284,Dust,Hugh Howey,2013,4.25,74968,1216,Silo,3
285,The Quantum Thief,Hannu Rajaniemi,2010,3.83,21210,1207,Jean le Flambeur ,1
286,Borne,Jeff VanderMeer,2017,3.93,31728,1206,Borne,1
287,The Angel Experiment,James Patterson,2005,4.07,218033,1204,Maximum Ride,1
288,American Gods,Neil Gaiman,2001,4.11,857176,1199,American Gods,1
289,Home,Nnedi Okorafor,2017,4.06,25070,1197,Binti,2
290,Pebble in the Sky,Isaac Asimov,1950,3.89,22480,1196,Galactic Empire,3
291,The Stone Sky,N.K. Jemisin,2017,4.36,109612,1193,The Broken Earth,3
292,The Long Dark Tea-Time of the Soul,Douglas Adams,1988,4.03,83800,1193,Dirk Gently,2
293,The City & the City,China Miéville,2009,3.9,63208,1188,,
294,Ilium,Dan Simmons,2003,4.03,28591,1185,Ilium,1
295,3001: The Final Odyssey,Arthur C. Clarke,1999,3.57,24357,1184,,
296,Judas Unchained,Peter F. Hamilton,2005,4.3,35393,1176,Commonwealth Saga,2
297,Blackout,Connie Willis,2010,3.84,24299,1175,All Clear,1
298,Broken Angels,Richard K. Morgan,2003,3.93,34521,1174,Takeshi Kovacs,2
299,Congo,Michael Crichton,1980,3.61,165673,1174,,
300,MaddAddam,Margaret Atwood,2013,4.0,70984,1170,MaddAddam,3
301,Gone,Michael  Grant,2008,3.86,193793,1170,Gone,1
302,Lucifer's Hammer,Larry Niven,1977,3.99,42440,1168,,
303,"Saga, Volume 5",Brian K. Vaughan,2015,4.41,63839,1166,,
304,Dauntless,Jack Campbell,2006,3.96,29790,1163,The Lost Fleet,1
305,The Midnight Library,Matt Haig,2020,4.03,1132927,1159,,
306,The Ask and the Answer,Patrick Ness,2009,4.19,90523,1159,Chaos Walking,2
307,Pattern Recognition,William Gibson,2003,3.86,49123,1156,Blue Ant,1
308,Mortal Engines,Philip Reeve,2001,3.77,59155,1155,Mortal Engines,1
309,The Fountains of Paradise,Arthur C. Clarke,1979,3.96,28435,1152,,
310,Startide Rising,David Brin,1983,4.04,31029,1147,The Uplift Saga,2
311,"The Stars, Like Dust",Isaac Asimov,1951,3.74,21074,1147,Galactic Empire,1
312,A Wind in the Door,Madeleine L'Engle,1973,4.0,124753,1144,Time Quintet,2
313,House of Suns,Alastair Reynolds,2008,4.23,24652,1144,,
314,A Thousand Pieces of You,Claudia Gray,2014,3.9,55466,1143,Firebird,1
315,The Vor Game,Lois McMaster Bujold,1990,4.27,23765,1141,Vorkosigan Saga,6
316,2312,Kim Stanley Robinson,2012,3.5,18842,1141,,
317,To Your Scattered Bodies Go,Philip José Farmer,1971,3.94,30753,1141,Riverworld,1
318,Little Brother,Cory Doctorow,2008,3.93,49607,1140,Little Brother,1
319,Excession,Iain M. Banks,1996,4.2,28568,1135,Culture,5
320,That Hideous Strength,C.S. Lewis,1945,3.89,36075,1135,The Space Trilogy,3
321,Renegades,Marissa Meyer,2017,4.15,113925,1129,Renegades,1
322,Time Enough for Love,Robert A. Heinlein,1973,3.97,34275,1129,,
323,Aurora,Kim Stanley Robinson,2015,3.75,23306,1127,,
324,Way Station,Clifford D. Simak,1988,4.03,25430,1124,,
325,The Golden Compass,Philip Pullman,1995,4.01,1430899,1120,His Dark Materials,1
326,"Paper Girls, Volume 1",Brian K. Vaughan,2016,3.88,88519,1119,,
327,Have Space Suit—Will Travel,Robert A. Heinlein,1958,3.92,29098,1117,,
328,The Postman,David Brin,1985,3.89,34042,1116,,
329,Iron Gold,Pierce Brown,2018,4.22,61773,1114,Red Rising Saga,4
330,The Human Division,John Scalzi,2013,4.08,31218,1112,Old Man's War,5
331,Stars Above,Marissa Meyer,2016,4.18,82758,1107,The Lunar Chronicles,4.5
332,The Ballad of Songbirds and Snakes,Suzanne Collins,2020,3.83,319489,1107,The Hunger Games,0
333,A Deepness in the Sky,Vernor Vinge,1999,4.31,31501,1105,Zones of Thought,2
